,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
JP,,JP,LS,TW,1999,*,JP    -,"Jiu Peng air base 7, Pingtung, Formosa",-,120.9200,22.1300,0.1000,NSPO,-                -,,-
JQ,,JQ,LS,CN,1968,*,JQ    -,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",-,100.3100,41.3100,0.0400,CN,-                -,,-
JUA,,JUA,LS,US,1959,1959,JUA   -,"Sierra de Juarez, Baja California",-,-115.8300,32.2500,0.0200,USA,-                -,,-
KAES,,KAES,LS,KP,2014,*,Kaesong,"Kaesong, North Hwanghae Prov.",-,126.5878,37.9382,0.0010,KP,-                -,,-
KANSK,,KANSK,LS,RU,1988,1989,KANSK,"Kansk, Krasnoyarsk region",-,95.7000,56.2000,0.1000,RVSN,-                -,,-
KARK,,KARK,LS,NZ,1965 May 25,1965 May 30,KARK  -,"Cape Karikari, North Island, New Zealand",-,173.4053,-34.8250,0.0001,NASA,-                -,,-
KART,,KART,LS,SU,1981,1988,Kartaly-6,Kartaly missile base,"Kartaly-6, Chelyabinsk",60.6000,52.9000,0.5000,RVSN,-                -,,-
KARY,,KARY,LS,GR,1966 May 15,1966 May 20,KARY  -,"Nissaki-Karystos, Evvoia, Hellas",-,24.4200,38.0100,0.0200,ESRO,-                -,,-
KASC,,KASC,LS,J,1960,2003 Oct,KASC  -,"Kagoshima Space Center, Kagoshima, Kyushu, Nippon",-,131.0790,31.2500,0.0010,ISAS,-                -,,-
KATTAK,,KATTAK,LS,SU,1963,1971,Kattakurgan,"Kattakurgan missile base, Samarkand region",-,66.3000,39.9000,0.2000,RVSN,-                -,,-
KAU,,KAU,LS,US,1962 Jun,*,KAU   -,"Kauai Test Facility (KTF), Barking Sands, Kauai",-,-159.7770,22.0580,0.0040,USN,-                -,,-
KER,,KER,LS,TF,1968 Mar,1975,KER   -,"Kerguelen Range, Port-Aux-Francais, Kerguelen Island",-,70.2300,-49.3700,0.0200,CNES,-                -,,-
KERM,,KERM,LS,IR,1985,1985,KERM  -,"Bakhtaran/Kermanshah Air Base, Iran",-,47.2358,34.3575,0.0010,IR,-                -,,-
KEW,,KEW,LS,US,1964 Aug  6,1971 Jan 31,KEW   -,"Keweenaw Rocket Launch Site (KRLS), Michigan",-,-87.7200,47.4300,0.0200,UMI,-                -,,-
KITT,,KITT,LS,KP,2006,-,KITT  -,"Kittaeryong (Gitdaeryung), Anbyun, Gangwon Province (Kangwon-do)",-,127.6236,38.9908,0.0010,CMIK,-                -,,-
KLA,,KLA,LS,KI,1998,*,KLA   -,"Sea Launch Kiritimati Launch Area, Pacific Ocean",-,-154.0000,0.0000,0.0500,BOSL,-                -,,-
KLC,,KLC,LS,US,1998,2016 Aug,KLC   -,"Kodiak Launch Complex, Kodiak Island, Alaska",-,-152.3378,57.4359,0.0002,AADC,-                -,,-
KMR,,KMR,LS,TTPI,1962,*,KMR   -,"US Army Kwajalein Atoll (USAKA), Marshall Islands",-,167.7200,8.9917,0.0200,SMDC,-                -,,-
KOR,,KOR,LS,GR,1966 May 15,1966 May 21,KOR   -,"Koroni, Peloponnisos, Hellas (beach launch area)",-,21.9500,36.7700,0.0200,ESRO/NASA,-                -,,-
KOSTR,,KOSTR,LS,SU,1960s,1980s,KOSTR,"Kostroma missile base, Russia",-,41.3800,57.6700,0.0100,RVSN,-                -,,-
KRAS,,KRAS,LS,SU,1960s,1990s,KRAS,"Krasnoyarsk missile site, Russia",-,92.2900,56.2300,0.0200,RVSN,-                -,,-
KRON,,KRON,LS,S,1961,1964,KRON  -,"Kronogard (Jokkmokk/Vidsel), Norrbottens Lan, Sverige",-,19.7800,66.2200,0.0200,SSC,-                -,,-
KSC,,KSC,LS,US,1966 Dec,*,KSC   -,"NASA John F. Kennedy Space Center, Florida",-,-80.6041,28.6083,0.0001,NASA,-                -,,CC
KUSONG,,KUSONG,LS,KP,2016,*,Kusong,"Musudan launch site, Banghyon Airport, Kusong City, N Pyongan Prov.",-,125.2000,39.9000,0.1000,KP,-                -,,CC
LAOG,,LAOG,LS,CN,1960 Feb 19,1960?,LAOG  -,"Laogang, Shanghai Shi, Zhongguo",-,121.8200,31.0200,0.0200,SIMED,-                -,,-
LANC,,LANC,LS,AU,1974 Jun,1974 Jun,LANC  -,"Lancelin, Perth, W. Australia",-,115.1900,-31.0100,0.0200,SAND,-                -,,-
LAP,,LAP,LS,ID,1965 Aug 11,*,LAP   -,"STASPRO, Pameungpeuk site, Cilauteurum, Lembe I, Garut, Jawa Barat",-,107.6917,-7.6689,0.0010,LAPAN,-                -,,-
LEBA,,LEBA,LS,PL,1969 Oct  3,1973 Jun 15,LEBA  -,"Leba (Ustka), Slupsk, Pomerania, Polska",-,17.5500,54.7800,0.0200,PL,-                -,,-
LIT,,LIT,LS,LUNA,1972 Dec 14,1972 Dec 14,LIT   LM12-DS,"LM 12 Descent Stage, Taurus-Littrow Base, Littrow Valley, Macrobius B1",Luna,30.7500,20.1600,0.0100,NASA,-                -,,LUNA
LROCK,,LROCK,LS,US,1960,1990,Little Rock,"Little Rock Air Force Base, Arkansas",-,-92.1500,34.9000,0.0200,SAC,-                -,,-
LRPG,,CC,LS,US,1950 May 16,1951 Jun 30,LRPG,Long Range Proving Ground,"Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
MAHIA,,MAHIA,LS,NZ,2017 May,-,RLLC1,"Rocket Lab Launch Complex 1, Onenui Station, Mahia Peninsula","Mahia Peninsula, N Island",177.8655,-39.2609,0.0001,RLABN,-                -,,-
MAKAT,,MAKAT,LS,KZ,1957,1960s,MAKAT -,"Makat tactical missile base, Atyrau, Kazakstan",-,53.3200,47.6500,0.0200,RVSN,-                -,,-
MAKHCH,,MAKHCH,LS,SU,1960,1970,Makhch,"Makhachkala missile base, Makhachkala, Dagestan",-,47.5000,42.7000,0.2000,RVSN,-                -,,-
MARS,,MARS,LS,US,2006,*,MARS,"Mid-Atlantic Regional Spaceport, Wallops Island, Virginia",-,-75.4800,37.8300,0.0200,NASA,-                -,,-
MASHH,,MASHH,LS,IR,2000,-,Mashhad,"14th Tactical Air Base, Mashhad","Mashhad, Iran",59.6403,36.2342,0.0005,IR,-                -,-,
MATI,,MATI,LS,US,1981 Aug  5,1982 Sep  9,MATI  -,"Matagorda Island, Texas",-,-96.5000,28.2500,0.0200,SSI,-                -,,-
MATZ,,MATZ,LS,ARV,1965,1965,MATZ  -,"Base Aerea Teniente Benjamin Matienzo, Nunatak Larsen, Antarctica",Antartida Argentina,-60.0700,-64.9600,0.0500,AR,-                -,,-
MCM,,MCM,LS,NZRD,1962?,1963?,MCM   -,"McMurdo Station, Ross Ice Shelf, New Zealand Antarctic Territory",-,166.6600,-77.8500,0.0200,USAF?,-                -,,-
MEDR,,MEDR,LS,IL,2010?,-,Med Range,"Target drop point, Mediterranean Sea",-,34.0000,18.50000,1.0000,IDF,-                -,,-
MER,,MER,LS,AR,1973,1973,MER   -,"Villa Reynolds Air Base, Mercedes, San Luis province, Argentina",-,-65.3800,-33.7300,0.0200,AR,-                -,,-
MHV,,MHV,LS,US,2004,*,MHV,"Mojave Spaceport, California",-,-118.1357,35.0487,0.0010,SCAL,-                -,,-
MINAKH,,MINAKH,LS,SY,1992 Jul,*,MINAK -,"Syrian missile base, Minakh, N of Halab/Alleppo, Syria (Base at Al Safir)",-,37.0391,36.5190,0.0010,SYMC,-                -,,-
MLD,,MLD,LS,AAT,1970?,1984,MLD   -,"Molodezhnaya, Enderby Land, Australian Antarctic Territory",-,45.8500,-67.6600,0.0200,SU,-                -,,-
MRL,,MRL,LS,N,1983 Nov 30,1984 Jan 15,MRL   -,"Marka Range, Lista, Norway",-,7.3000,58.2000,0.1000,N,-                -,,-
MRNV,,MRNV,LS,US,1957,1957,MRNV  -,"Mercury, Nevada",-,-115.9800,36.6700,0.0400,USN/AEC,-                -,,-
MUD,,MUD,LS,US,1959,1967,MUD,"Mud Lake, Nevada",-,-117.3000,38.1000,0.1000,NASA/USAF,-                -,,-
MUPYONG,,MUPYONG,LS,KP,2017,-,Mupyong-ni,"Mupyong-ni, Chagang province",-,126.4257,40.6112,0.0001,KP,-,,
NAMFI,,NAMFI,LS,GR,1994,-,NAMFI,NATO Missile Firing Installation (NAMFI),"Chania, Crete",24.2000,35.6000,0.1500,NATO,-                -,-,
NAMPO,,NAMPO,LS,KP,2015,-,Nampo,"Scud launch site near Nampo, South Pyongan Prov. (Pyong'annam-do)",-,125.5000,38.7500,0.3000,CMIK,-                -,,-
NAOTS,,NAOTS,LS,US,1955,1955,NAOTS -,"Naval Air Ordnance Test Station, Chincoteague, Virginia",-,-75.3600,37.9200,0.0300,USN,-                -,,-
NARO,,NARO,LS,KR,2007,*,NARO  -,"Naro Space Center (Naro Uju Senteo),Oenaro I,GoHeung, Jeollanam-do,Korea",-,127.5400,34.4300,0.0200,KARI,-                -,,-
NEGEV,,NEGEV,LS,IL,1980?,1995?,NEGEV -,"Negev Desert test site, Hadarom Hanegev, Israel",-,35.0000,31.0000,1.0000,IL,-                -,,-
NEN,,NEN,LS,SU,1960s,*,NEN   -,"GTsMP?, Nenoksa Test Range, Rossiya",-,39.2000,64.6300,0.1000,VMF,-                -,,-
NIIJ,,NIIJ,LS,J,1963,1966,NIIJ  -,"Niijima, Nippon",-,139.2700,34.3300,0.0200,STA,-                -,,-
NOSSET,,NOSSET,LS,RU,2008,2008,N Ossetia,North Ossetia? Possible Iskander launch point,-,44.0000,43.0000,1.0000,RVSN,-                -,,-
NOTS,,NOTS,LS,US,1958,1958,NOTS  -,"Naval Ordnance Test Station, China Lake, California",-,-117.1700,35.5800,0.0200,USN,-                -,,-
NOUA,,NOUA,LS,MR,1973 Jun 30,1973 Jun 30,NOUA  -,"Nouadhibou, Dakhlet Nouadhibou, Mauritanie",-,-17.0314,20.9208,0.0002,KPNO,-                -,,-
NOVOSY,,NOVOSY,LS,SU,1969,1969,NOVOSY,Novosysoyevka missile base,-,133.3600,44.2400,0.2000,RVSN,-                -,,-
NTAG,,NTAG,LS,SU,1960s,1990s,NTAG,"Nizhniy Tagil missile base, Russia  (Verhknaya Salda)",-,60.3640,58.0960,0.0100,RVSN,-                -,,-
NKAZ,,NKAZ,TGT,SU,1965,1970,NKAZ,"OGCh target area, Novaya Kazanka, Kazakhstan",-,49.6000,48.9000,0.1000,RVSN,-                -,,-
NTRURO,,NTRURO,LS,US,1969 Nov,1970 Feb,NTRURO,North Truro Air Force Station,-,-70.0500,42.0300,0.0100,USAF,-                -,,-
NTS,,NTS,LS,US,1958,*,NTS,Nevada Test Site,-,-116.1100,36.7500,0.0400,DOE,-                -,,-
NZEM,,NZEM,LS,SU,1961,1961?,NZ    -,Novaya Zemlya test site,-,54.6000,70.7000,0.1000,RVSN,-                -,,-
OBA,,OBA,LS,J,1961 Jun,1961?,OBA   -,"Obuchi (Obachi?), Aomori, Honshu, Nippon",-,141.7300,40.7000,0.0200,ISAS,-                -,,-
OK,,OK,LS,SU,1956,1980?,OK    -,"Ostrov Kheysa, Zemlya Frantsa-Iosifa",-,58.0500,80.4500,0.0200,SU,-                -,,-
OMSK,,OMSK,LS,SU,1960s?,1990s?,OMSK,"Omsk missile base, Russia",-,73.6350,55.1600,0.0100,SU,-                -,,-
ORDZH,,ORDZH,LS,SU,1961,1969,ORDZH,"Ordzhonikidze missile base, Ordzhonikidze (Vladikavkaz), S Ossetia",-,44.6500,43.0200,0.2000,SU,-                -,,-
OTB,,OTB,LS,ZA,1980s,1990s?,OTB   -,"Overberg Toersbaan, Arniston, Waenhuiskrans, Western Cape, South Africa",-,20.3200,-34.5800,0.0200,ZA,-                -,,-
PA,,PA,LS,US,1958,1965,PA    -,"Naval Missile Facility, Point Arguello, California",-,-120.6000,34.6200,0.0200,USN,-                -,,-
PALB,,PALB,LS,IL,1988,*,PALB  -,"Israeli Air Force Test Range, Palmachim Beach, Israel",-,34.7000,31.9000,0.0200,IL,-                -,,-
PAVL,,PAVL,LS,SU,1971,1972,PAVL,"PMZ Pavlograd test site, Ukraine",-,38.5000,48.9000,0.2000,SU,-                -,,-
PBA,,PBA,LS,US,1965,1972,PBA   -,"Point Barrow, Alaska",-,-156.7800,71.0300,0.0200,NASA,-                -,,-
PDI,,PDI,LS,AR,-,-,PDI   -,"Puente del Inca, Mendoza, Argentina",-,-69.9100,-32.8200,0.0500,AR,,-,
PF,,PF,LS,US,1969,*,PF    -,"Poker Flat Research Range, Ft Wainwright, Alaska",-,-147.4670,65.1170,0.0050,USAF,-                -,,-
PISQ,,SDQ,LS,I,2000?,-,PISQ,Poligono Sperimentale e di Addestramento Interforze del Salto di Quirra,-,9.4300,39.6000,0.0200,I,-                -,,-
PLATT,,PLATT,LS,US,-,-,PLATT -,"Plattsburgh AFB, NY",-,-73.4600,44.6600,0.0100,USAF,,-,
PM,,PM,LS,US,1957,*,PM    -,"Naval Missile and Astronautics Center, Point Mugu, California",-,-119.1200,34.1200,0.0200,USN,-                -,,-
PMFA,,PMFA,LS,US,1960 Mar,-,PMFA  -,"POMFLANT, Polaris Missile Facility, Atlantic","Charleston, S Carolina",-79.9500,32.8500,0.0100,USN,-                -,,-
PMFP,,PMFP,LS,US,1966,-,PMFP  -,"POMFPAC,  Polaris Missile Facility, Pacific","Bangor, Washington",-122.7200,42.7200,0.0100,USN,-                -,,-
PRCT,,PRCT,LS,CN,1995,1996,PRCT  -,"Leping missile base, Jianxi, China",-,117.1200,28.9700,0.0200,CN,-                -,,-
PRIM,,PRIM,LS,CA,1970,1980,PRIM  -,"Primrose Lake, Alberta",-,-110.0500,54.7500,0.0200,NRCC,-                -,,-
PSCA,,KLC,LS,US,2016 Aug,*,PSCA,"Pacific Spaceport Complex Alaska, Kodiak Island, Alaska",-,-152.3378,57.4359,0.0002,AADC,-                -,,-
PUKCH,,PUKCH,LS,KP,2017,-,Pukchang,"Pukchang airfield, Sunchon, Pyongan-namdo",-,125.9643,39.0544,0.0100,KP,-                -,,-
PYONGS,,PYONGS,LS,KP,2017,-,Pyongsong,Pyongsong region,,125.9000,39.2500,0.1000,KP,-                -,,-
QOM,,QOM,LS,IR,1991 Mar,?,QOM   -,"Qom test site, Markazi, Iran",-,50.9000,34.6500,0.2000,IR,-                -,,-
RAMEY,,RAMEY,LS,PR,1958 Aug,1958 Sep,RAMEY -,"Ramey AFB, Aguadilla, Puerto Rico",-,-67.1300,18.4500,0.0500,USAF,-                -,,-
RARO,,RARO,LS,CK,1965,1965,RARO  -,"Rutaki, Rarotonga, Cook Islands, Pacific Ocean",-,-159.8000,-21.2600,0.0500,SAND,-                -,,-
REG,,REG,LS,DZ,1961,1965,REG   -,"Reggane, Algerie",-,0.2800,26.7200,0.0100,F,-                -,,-
RES,,RES,LS,CA,1966,1971,RES   -,"Resolute Bay, Magnetic N Pole Station, Cornwallis I., Nunavut, Canada",-,-94.9000,74.6800,0.0200,NRCC,-                -,,-
RI,,RI,LS,US,1999,1999,RI    -,"Ninigret State Park (Charlestown NAS), Charlestown, Rhode Island",-,-71.6700,41.3600,0.0200,SPFL,-                -,,-
RLAKE,,RLAKE,LS,CA,1979 Feb 26,1979 Feb 27,RLAKE CHK,"Red Lake, Chukuni Range, Ontario, Canada",-,-93.4700,50.8800,0.2000,NRCC,-                -,,-
ROBI,,ROBI,LS,US,-,-,ROB   -,"Robins AFB, Georgia",-,-83.5920,32.6400,0.0100,USAF,,-,
ROS,,ROS,LS,US,1959,1967,ROS   -,"Rosamund Dry Lake, California",-,-118.0500,34.8300,0.0100,NASA/USAF,-                -,,-
ROTH,,ROTH,LS,BAT,1998,1998,ROTH  -,"Rothera, British Antarctic Territory",-,-68.1170,-67.5670,0.0100,BAS,-                -,,-
RRV,,RRV,LS,US,1959,1967,RRV   -,"Railroad Valley Lake drop zone, Nevada",-,-116.1800,38.2200,0.1000,NASA/USAF,-                -,,-
RYO,,RYO,LS,J,1970 Apr,*,RYO   -,"Ryori, Sanrikucho, Japan",-,141.8300,39.0300,0.0200,JMA,-                -,,-
SADAH,,SADAH,LS,YE,2015,2015,Sa'dah,"Sa'dah (Saa'da), Yemen and Dammaj Valley area",-,43.8500,16.6680,0.2000,ANSAL,-                -,,-
SAIN,,SAIN,LS,MN,1989,1989,SAIN  -,Sainshand meteorological rocket station,"Sainshand, Dornogovi, Mongolia",110.1400,44.8900,0.1000,GMS,-                -,,-
SALKH,,SALKH,LS,SU,1961,1962,Salekhard,Salekhard R-12 missile base,"Salekhard, Yamalo-Nenets",66.5900,66.5900,0.0200,RVSN,-                -,,-
SANAA,,SANAA,LS,YE,2016,*,Sanaa,"Sana'a, Yemen",-,44.2150,15.3014,0.2000,ANSAL,-                -,,-
SCL,,SCL,LS,US,1957,1960s,SCL   -,"San Clemente Island, Pacific Missile Range, California",-,-118.5000,32.9200,0.0200,USN,-                -,,-
SDQ,,SDQ,LS,I,1959,2000?,SDQ   -,"Salto di Quirra (San Lorenzo), Perdas de Fogu, Sardegna",-,9.4300,39.6000,0.0200,I,-                -,,-
SDSC,,SHAR,LS,IN,2002,*,SHAR  -,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",-,80.3030,13.6210,0.0200,ISRO,-                -,,-
SEBA,,SEBA,LS,LY,1981 Mar  1,1981 Mar  1,SEBA  -,"Seba Oasis, Sabha?, Camp Tawiwa, Jarmash, Libya",-,14.4585,26.9879,0.0500,OTRAG,-                -,,-
SEM,,SEM,LS,IR,2000,-,SEM   -,"Semnan missile launch site, Iran",-,53.9210,35.2347,0.0002,IR,-                -,,-
SEMX,,SEMX,LS,IR,1980s,*,SHAHX -,"Unknown mobile launch sites in Semnan province, poss. near Shahrud",-,55.3300,36.2300,0.2000,IR,-                -,,-
SEND,,SEND,LS,CA,1980 Feb 15,1980 Feb 23,SEND  -,"Southend, Saskatchewan, Canada",-,-103.3600,56.2600,0.0300,NRCC,-                -,,-
SENDAI,,SENDAI,LS,J,-,-,SENDA -,"Sendai, Japan",-,140.9000,38.2700,0.0100,J,-                -,,-
SERRE,,SERRE,LS,AR,2009,2009,Serrezuela,"Poligono de Salinas Grandes, Serrezuela, Cordoba",-,-65.5000,-30.6500,0.1000,CITED,-                -,,-
SFO,,SFO,LS,US,2011,2011,SFO,San Francisco International Airport (SFO),-,-122.3700,37.6200,0.0100,SCAL,-                -,,-
SGAV,,SGAV,LS,RU,1963,1965,SGAV  -,"Sovetskaya Gavan, Rossiya",-,140.3000,48.9700,0.0100,SU,-                -,,-
SHER,,SHER,LS,PCZ,1969 Jan 20,1970 Nov 13,SHER  -,"Fort Sherman, Panama Canal Zone",-,-79.9800,9.3300,0.0200,NASA?,-                -,,-
SHABA,,SHABA,LS,ZR,1977,1978,SHABA -,"Shaba North, Kapani Tonneo, Shaba, Zaire",-,28.5328,-7.9236,0.0010,OTRAG,-                -,,-
SHAHR,,SHAHR,LS,IR,1980s,*,SHAHR -,"Damghan (Shahroud), Iran (Dasht-E-Kabir?)",-,55.3300,36.2300,0.0100,IR,-                -,,-
SHAR,,SHAR,LS,IN,1971 Oct  9,2002,SHAR  -,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",-,80.3030,13.6210,0.0200,ISRO,-                -,,-
SHEM,,SHEM,LS,US,1988,1988,SHEM  -,"Eareckson Air Station, Shemya Island, Alaska",-,174.0800,52.7200,0.0100,USAF,-                -,,-
SHIJ,,SHIJ,LS,CN,1960 Sep,1960?,SHIJ  -,"Shijiedu, Anhui, Zhongguo",-,119.2200,30.9500,0.0200,CN,-                -,,-
SIL,,SIL,LS,US,1960,-,SIL   -,"Silver Lake 1 drop zone, California",-,-115.8000,35.5300,0.1000,USAF,-                -,,-
SINPO,,SINPO,LS,KP,2014,-,Shinpo,"Shinpo Shipyard, S Hamgyong Prov (Hamgyong-namdo), North Korea",-,128.1580,40.0190,0.0010,KP,-                -,,-
SIP,,SIP,LS,AQ,1980 Dec 12,1981 Jan 11,SIP   -,"Siple Station, Ellsworth Land, Antarctica",-,-84.2481,-75.9400,0.0005,NASA,-                -,,-
SMLC,,SMLC,LS,KE,1964,*,SMLC  -,"San Marco Launch Complex, Formosa Bay, Kenya",-,40.2134,-2.9408,0.0002,I,-                -,,-
SNI,,SNI,LS,US,1960,1973,SNI   -,"San Nicolas Island, Pacific Missile Range, California",-,-119.5000,33.2500,0.0200,USN,-                -,,-
SOHAE,,SOHAE,LS,KP,2008,*,TONG  -,"Sohae Launch Site, Tongch'ang-dong, Pyongang-bukdo (N Pyongan Prov), N Korea",-,124.7060,39.6600,0.1000,CMIK,-                -,,-
SOM,,SOM,LS,PK,1962,*,SOM   -,"Sonmiani Range, Sonmiani Beach, Baluchistan, Pakistan",-,66.7500,25.2000,0.0200,SUPA,-                -,,-
SOZEK,,SOZEK,LS,SU,1968,1969,SOZEK,"Sary Ozek missile base, Kazakhstan",-,67.6500,43.3000,0.2000,RVSN,-                -,,-
SPAM,,SWRS,LS,US,2006?,*,SPAM  -,"Spaceport America, New Mexico","Upham, New Mexico",-106.9700,32.9900,0.0100,NMSPA,-                -,,-
SPFL,,CCA,LS,US,1998 Jan  1,*,SPFL  -,"Spaceport Florida, Cape Canaveral",-,-80.5272,28.4583,0.0002,SPFL,-                -,,-
SPXMCG,,SPXMCG,LS,US,2012,-,SpaceX McGregor,SpaceX McGregor Test Site,"McGregor, Texas",-97.4600,31.4000,0.0100,SPX,-                -,,-
SRMSC,,SRMSC,LS,US,1971,1975,SRMSC,Stanley R. Mickelson Safeguard Complex (SRMSC),"Nekoma, North Dakota",-98.3562,48.5931,0.0001,SMDC,-                -,,-
SSG,,SSG,LS,GL,1971,1992,SSG   -,"Sonde Stromfjord, Kangerlussuaq, Kalaallit Nunaat (Gronland)",-,-50.5970,67.0230,0.0020,USAF,-                -,,-
SUKCH,,SUKCH,LS,KP,2014,-,SUKCHON,"Sukchon County launch site, South Pyongan Prov. (Pyong'annam-do), CMIK",-,125.6000,39.4000,0.1000,CMIK,-                -,,-
SUNAN,,SUNAN,LS,KP,2017,-,SUNAN,"Sunan Airport, Pyonyang",-,125.6752,39.2674,0.0005,CMIK,-                -,,-
SUIST,,SUIST,LS,UK,1962,*,SUIST -,"Royal Artillery Guided Weapons Range, South Uist, Hebrides",-,-7.3300,57.3300,0.0200,MOD,-                -,,-
SUIP,,SUIP,LS,F,1950 Aug  2,1951 Oct  6,SUIP  -,"Camp de Suippes, Marne, France",-,4.5300,49.1500,0.0300,ARMF,-                -,,-
SV3,,SV3,LS,LUNA,1969 Nov 20,1969 Nov 20,SV3   LM6-DS,"LM6 Descent Stage, Surveyor 3 Site, Mare Insularum, Montes Riphaeus A2",Luna,23.3800,-3.2000,0.0100,NASA,-                -,,LUNA
SVAL,,SVAL,LS,N,1997 Nov,*,SVAL  -,"SvalRak, Ny Alesund, Svalbard, Spitsbergen",-,11.8504,78.9315,0.0001,N,-                -,,-
SVER,,SVER,LS,SU,1960,-,SVER  -,Sverdlovsk air defence base,-,39.6500,48.9000,0.0100,SU,-                -,,-
SVOB,,SVOB,LS,RU,1990,*,GIK-2 -,"Svobodniy, Amurskaya Oblast', Rossiya",-,128.0000,51.7000,0.5000,RVSN,Svobodniy        -,,-
SWRS,,SWRS,LS,US,2006,2006?,SWRS  -,SouthWest Regional Spaceport (Spaceport America) New Mexico,-,-106.9700,32.9900,0.0100,NMSPA,-                -,,-
SYRIA,,SYRIA,LS,SY,1992 Jul,*,SYRIA -,"Syrian missile base, unknown, N of Halab/Alleppo?, Syria",-,38.0000,35.0000,3.0000,SYMC,-                -,,-
SYW,,SYW,LS,DML,1970 Feb,*,SYW   -,"Syowa (Showa) Base, East Ongul I., Queen Maud Land, Antarctica",-,39.5800,-69.0000,0.0300,J,-                -,,-
TAIKI,,TAIKI,LS,J,2017 Jul,*,Taiki IST,"Interstellar Technologies Test Site, Taiki, Hokkaido",-,143.4572,42.5059,0.0001,IST,-                -,,-
TART,,TART,LS,AR,1966 Nov 18,1966 Nov 18,TART  -,"Tartagal, Salta, Argentina",-,-63.8200,-22.7700,0.0200,CONAE,-                -,,-
TATS,,TATS,LS,SU,1980s,1980s,TATS  -,"Tatishchevo ICBM base, Russia",-,45.5700,51.6700,0.0200,RVSN,-                -,,-
TERLS,,TERLS,LS,IN,1963,*,TERLS -,"Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
TEYK,,TEYK,LS,SU,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.4400,56.7000,0.0100,RVSN,-                -,,-
THU,,THU,LS,GL,1970,1976?,THU   -,"Thule AFB, Halvo, Kalaallit Nunaat",-,-68.7500,76.5300,0.0200,USAF?,-                -,,-
THUTH,,THUTH,LS,YE,2015,2015,TussenHuhen,"Tussen Huthen, Yemen",-,44.1000,16.4200,0.2000,ANSAL,-                -,,-
TIKSI,,TIKSI,LS,RU,2015,*,TIKSI,Tiksi Hydrometeorological Observatory,-,71.5860,128.9250,0.0030,GMS,-                -,,-
TILLA,,TILLA,LS,PK,1998 Apr  8,*,TILLA -,"Tilla Firing Range, Malute, Jhelum region, Punjab, Pakistan",-,73.3000,33.4000,0.5000,PK,-                -,,-
TNSC,,TNSC,LS,J,1975,*,TNSC  -,"Tanegashima Space Center, Tanegashima, Nippon",-,130.9700,30.4000,0.0200,NASDA,-                -,,-
TONGH,,TONGH,LS,KP,1984 Apr,*,TONGH -,"Tonghae SLG, Musudan-ri, Hwadae-gun, Hamgyong Pukdo, Choson",-,129.6666,40.8500,0.0020,KPA,-                -,,-
TORT,,TORT,LS,PR,1992 May 25,*,TORT  -,"Camp Tortuguero, Vega Baja, Arecibo, Puerto Rico",-,-66.4395,18.4829,0.0200,NASA,-                -,,-
TRAN,,TRAN,LS,LUNA,1969 Jul 21,1969 Jul 21,TRAN  LM5-DS,"LM 5 DS, Tranquility Base, Mare Tranquillitatis, Julius Caesar C4",Luna,23.4300,0.6900,0.0100,NASA,-                -,,LUNA
TRIP,,TRIP,LS,LY,-,-,TRIP  -,"Tripoli missile base, Tripoli, Libya",-,13.0000,32.5000,2.0000,LY,,-,
TTR,,TTR,LS,US,1957,*,TTR   -,"Tonopah Test Range, Nevada",-,-116.7500,37.7500,0.0300,SAND,-                -,,-
TYUM,,TYUM,LS,SU,1960s,1980s,TYUM,"Tyumen' missile base, Russia",-,65.5700,56.8500,0.0300,RVSN,-                -,,-
TYSC,,TYSC,LS,CN,1988,*,TYSC  -,Taiyuan weixing fashe zhongxin,"Wuzhai, Shanxi, China",112.6000,37.5000,0.1000,CN,-                T,aiyuan Space Center,-
UNKV2,,UNKV2,LS,DR,-,-,UNKV2 -,"Unknown V2 WWII launch site, Europe",-,6.0000,50.0000,2.5000,WEHR,V2 Sites         -,,-
URDA,,URDA,LS,SU,1957,1957,Urda,"Tactical launch site, Urda, Kazakhstan",-,47.4800,48.7600,0.0500,RVSN,-                -,,-
URUM,,URUM,LS,CN,-,-,URLM,"Korla Missile Test Center, Launch site near Urumqi, China",-,87.6000,43.8000,2.0000,CN,-                -,,-
USC,,KASC,LS,J,2003 Oct,*,USC   -,"Uchinoura Space Center, Kagoshima (formerly Kagoshima)",-,131.0790,31.2500,0.0010,ISAS,-                -,,-
UZHUR,,UZHUR,LS,SU,1960s,1990s,UZHUR,"Uzhur missile site, Russia",-,90.2530,55.2075,0.0100,RVSN,-                -,,-
V,,V,LS,US,1958,*,V     -,"Vandenberg AFB, California",-,-120.6200,34.7500,0.0200,USAF,Vandenberg       -,,V
V2BURG,,V2BURG,LS,DR,-,-,V2BUR -,"V-2 launch area, Burgsteinfurt",-,7.3000,52.1000,0.1000,WEHR,-                -,,UNKV2
